date,symbol,marketcapname,sector
01-11-2011,BHEL,Largecap,FMCG
01-11-2011,SBIN,Largecap,Bank
01-11-2011,SHRIRAMFIN,Midcap,Finance
01-11-2011,ADANIENT,Largecap,Services
01-11-2011,UNIONBANK,Largecap,Bank
01-11-2011,JSWENERGY,Largecap,Miscellaneous
01-12-2011,BHEL,Largecap,FMCG
01-12-2011,SBIN,Largecap,Bank
01-12-2011,TRENT,Largecap,FMCG
01-12-2011,TATAPOWER,Largecap,Miscellaneous
01-12-2011,BPCL,Largecap,Industrials
01-12-2011,SHRIRAMFIN,Midcap,Finance
01-12-2011,ADANIENT,Largecap,Services
01-12-2011,IOC,Largecap,Industrials
01-12-2011,UNIONBANK,Largecap,Bank
01-12-2011,NAUKRI,Largecap,I.T
01-12-2011,JSWENERGY,Largecap,Miscellaneous
01-12-2011,COALINDIA,Largecap,Industrials
02-01-2012,PIDILITIND,Largecap,Industrials
02-01-2012,ZYDUSLIFE,Largecap,Pharmaceuticals
02-04-2012,GAIL,Largecap,Industrials
02-05-2012,GAIL,Largecap,Industrials
02-05-2012,TVSMOTOR,Largecap,Auto
02-07-2012,ADANIENT,Largecap,Services
01-08-2012,ADANIENT,Largecap,Services
01-08-2012,BHARTIARTL,Largecap,Telecom
01-08-2012,ADANIPORTS,Largecap,Industrials
01-02-2013,ABB,Largecap,FMCG
01-02-2013,SIEMENS,Largecap,FMCG
01-03-2013,ABB,Largecap,FMCG
01-03-2013,BHEL,Largecap,FMCG
01-03-2013,NTPC,Largecap,Miscellaneous
02-05-2013,BAJAJFINSV,Largecap,Finance
03-06-2013,TATASTEEL,Largecap,Metals
03-06-2013,JINDALSTEL,Largecap,Metals
03-06-2013,BAJAJFINSV,Largecap,Finance
01-07-2013,TATASTEEL,Largecap,Metals
01-07-2013,JINDALSTEL,Largecap,Metals
01-07-2013,DLF,Largecap,Realty
01-07-2013,BAJAJFINSV,Largecap,Finance
01-08-2013,GRASIM,Largecap,Textiles
01-08-2013,ADANIENT,Largecap,Services
01-08-2013,BANKBARODA,Largecap,Bank
01-08-2013,ZYDUSLIFE,Largecap,Pharmaceuticals
01-08-2013,PNB,Largecap,Bank
01-08-2013,UNIONBANK,Largecap,Bank
01-08-2013,CANBK,Largecap,Bank
01-08-2013,ULTRACEMCO,Largecap,Industrials
01-08-2013,DLF,Largecap,Realty
01-08-2013,BAJAJFINSV,Largecap,Finance
01-08-2013,COALINDIA,Largecap,Industrials
02-09-2013,ADANIENT,Largecap,Services
02-09-2013,DLF,Largecap,Realty
01-01-2014,BEL,Largecap,Aerospace & Defence
03-02-2014,HINDUNILVR,Largecap,FMCG
03-02-2014,NTPC,Largecap,Miscellaneous
01-12-2014,VEDL,Largecap,Industrials
01-01-2015,VEDL,Largecap,Industrials
02-03-2015,TATASTEEL,Largecap,Metals
01-04-2015,HEROMOTOCO,Largecap,Auto
01-04-2015,GAIL,Largecap,Industrials
01-06-2015,TECHM,Largecap,I.T
01-06-2015,RECLTD,Largecap,Finance
01-07-2015,TITAN,Largecap,Miscellaneous
01-07-2015,TATAPOWER,Largecap,Miscellaneous
01-07-2015,TATAMOTORS,Largecap,Auto
01-07-2015,RECLTD,Largecap,Finance
01-07-2015,ADANIPOWER,Largecap,Miscellaneous
03-08-2015,VEDL,Largecap,Industrials
03-08-2015,TATAPOWER,Largecap,Miscellaneous
03-08-2015,HINDALCO,Largecap,Metals
03-08-2015,TATAMOTORS,Largecap,Auto
03-08-2015,JINDALSTEL,Largecap,Metals
03-08-2015,PFC,Largecap,Finance
03-08-2015,RECLTD,Largecap,Finance
03-08-2015,ADANIPOWER,Largecap,Miscellaneous
03-08-2015,NHPC,Largecap,Miscellaneous
03-08-2015,JSWENERGY,Largecap,Miscellaneous
01-09-2015,VEDL,Largecap,Industrials
01-09-2015,HINDALCO,Largecap,Metals
01-09-2015,TATAMOTORS,Largecap,Auto
01-09-2015,ICICIBANK,Largecap,Bank
01-09-2015,JINDALSTEL,Largecap,Metals
01-12-2015,LT,Largecap,Realty
01-12-2015,AXISBANK,Largecap,Bank
01-12-2015,CANBK,Largecap,Bank
01-01-2016,BHEL,Largecap,FMCG
01-01-2016,LT,Largecap,Realty
01-01-2016,SIEMENS,Largecap,FMCG
01-01-2016,ICICIBANK,Largecap,Bank
01-01-2016,AXISBANK,Largecap,Bank
01-01-2016,UNITDSPR,Largecap,FMCG
01-01-2016,CANBK,Largecap,Bank
01-01-2016,ADANIPORTS,Largecap,Industrials
01-01-2016,RECLTD,Largecap,Finance
01-02-2016,BHEL,Largecap,FMCG
01-02-2016,LT,Largecap,Realty
01-02-2016,SIEMENS,Largecap,FMCG
01-02-2016,NESTLEIND,Largecap,FMCG
01-02-2016,ICICIBANK,Largecap,Bank
01-02-2016,AXISBANK,Largecap,Bank
01-02-2016,CANBK,Largecap,Bank
01-02-2016,TECHM,Largecap,I.T
01-02-2016,PFC,Largecap,Finance
01-02-2016,ADANIPORTS,Largecap,Industrials
01-02-2016,RECLTD,Largecap,Finance
01-02-2016,JSWENERGY,Largecap,Miscellaneous
01-03-2016,COALINDIA,Largecap,Industrials
01-04-2016,HCLTECH,Largecap,I.T
01-04-2016,COALINDIA,Largecap,Industrials
02-05-2016,HCLTECH,Largecap,I.T
01-06-2016,HCLTECH,Largecap,I.T
01-09-2016,LTIM,Largecap,I.T
01-11-2016,INFY,Largecap,I.T
01-12-2016,SHRIRAMFIN,Midcap,Finance
01-12-2016,DIVISLAB,Largecap,Pharmaceuticals
02-01-2017,DIVISLAB,Largecap,Pharmaceuticals
01-03-2017,DRREDDY,Largecap,Pharmaceuticals
03-04-2017,DRREDDY,Largecap,Pharmaceuticals
02-05-2017,DRREDDY,Largecap,Pharmaceuticals
01-02-2018,BOSCHLTD,Largecap,Auto
01-03-2018,BOSCHLTD,Largecap,Auto
01-03-2018,PFC,Largecap,Finance
02-04-2018,BEL,Largecap,Aerospace & Defence
02-05-2018,BEL,Largecap,Aerospace & Defence
02-05-2018,HAL,Largecap,Aerospace & Defence
02-05-2018,PNB,Largecap,Bank
01-06-2018,BEL,Largecap,Aerospace & Defence
01-06-2018,ICICIGI,Largecap,Services
01-06-2018,HAL,Largecap,Aerospace & Defence
01-06-2018,PNB,Largecap,Bank
03-09-2018,HEROMOTOCO,Largecap,Auto
03-09-2018,SBILIFE,Largecap,Services
03-09-2018,INDIGO,Largecap,Services
01-10-2018,HEROMOTOCO,Largecap,Auto
01-10-2018,TATAMOTORS,Largecap,Auto
01-10-2018,TATACONSUM,Largecap,FMCG
01-10-2018,EICHERMOT,Largecap,Auto
01-10-2018,BHARTIARTL,Largecap,Telecom
01-11-2018,TATAMOTORS,Largecap,Auto
01-01-2019,TATASTEEL,Largecap,Metals
01-01-2019,ICICIPRULI,Largecap,Services
01-02-2019,TATACONSUM,Largecap,FMCG
03-06-2019,BOSCHLTD,Largecap,Auto
01-07-2019,BOSCHLTD,Largecap,Auto
01-07-2019,EICHERMOT,Largecap,Auto
01-08-2019,ITC,Largecap,FMCG
01-08-2019,EICHERMOT,Largecap,Auto
01-08-2019,JINDALSTEL,Largecap,Metals
03-09-2019,CIPLA,Largecap,Pharmaceuticals
03-09-2019,BOSCHLTD,Largecap,Auto
01-10-2019,INDUSINDBK,Largecap,Bank
01-02-2020,ITC,Largecap,FMCG
01-02-2020,GAIL,Largecap,Industrials
01-02-2020,PNB,Largecap,Bank
01-02-2020,POWERGRID,Largecap,Miscellaneous
01-02-2020,ADANIPOWER,Largecap,Miscellaneous
02-03-2020,ABB,Largecap,FMCG
02-03-2020,BHEL,Largecap,FMCG
02-03-2020,SBIN,Largecap,Bank
02-03-2020,HDFCBANK,Largecap,Bank
02-03-2020,HEROMOTOCO,Largecap,Auto
02-03-2020,VEDL,Largecap,Industrials
02-03-2020,ONGC,Largecap,Oils
02-03-2020,TATAPOWER,Largecap,Miscellaneous
02-03-2020,BAJAJHLDNG,Largecap,Finance
02-03-2020,BOSCHLTD,Largecap,Auto
02-03-2020,BPCL,Largecap,Industrials
02-03-2020,ITC,Largecap,FMCG
02-03-2020,IOC,Largecap,Industrials
02-03-2020,BANKBARODA,Largecap,Bank
02-03-2020,GAIL,Largecap,Industrials
02-03-2020,INDUSINDBK,Largecap,Bank
02-03-2020,AXISBANK,Largecap,Bank
02-03-2020,TVSMOTOR,Largecap,Auto
02-03-2020,GODREJCP,Largecap,FMCG
02-03-2020,PNB,Largecap,Bank
02-03-2020,UNIONBANK,Largecap,Bank
02-03-2020,CANBK,Largecap,Bank
02-03-2020,MARUTI,Largecap,Auto
02-03-2020,NTPC,Largecap,Miscellaneous
02-03-2020,POWERGRID,Largecap,Miscellaneous
02-03-2020,ADANIPORTS,Largecap,Industrials
02-03-2020,BAJAJ-AUTO,Largecap,Auto
02-03-2020,BAJAJFINSV,Largecap,Finance
02-03-2020,ADANIPOWER,Largecap,Miscellaneous
02-03-2020,JSWENERGY,Largecap,Miscellaneous
02-03-2020,COALINDIA,Largecap,Industrials
01-04-2020,ABB,Largecap,FMCG
01-04-2020,SBIN,Largecap,Bank
01-04-2020,TATAPOWER,Largecap,Miscellaneous
01-04-2020,BANKBARODA,Largecap,Bank
01-04-2020,PNB,Largecap,Bank
01-04-2020,UNIONBANK,Largecap,Bank
01-04-2020,CANBK,Largecap,Bank
04-05-2020,ABB,Largecap,FMCG
04-05-2020,SBIN,Largecap,Bank
04-05-2020,BANKBARODA,Largecap,Bank
04-05-2020,PNB,Largecap,Bank
04-05-2020,UNIONBANK,Largecap,Bank
04-05-2020,CANBK,Largecap,Bank
04-05-2020,INDIGO,Largecap,Services
01-03-2021,IRFC,Largecap,Finance
01-04-2021,IRFC,Largecap,Finance
01-02-2022,AMBUJACEM,Largecap,Industrials
01-02-2022,ICICIGI,Largecap,Services
01-02-2022,HDFCLIFE,Largecap,Services
01-02-2022,ICICIPRULI,Largecap,Services
02-03-2022,AMBUJACEM,Largecap,Industrials
02-05-2022,MOTHERSON,Largecap,Auto
01-06-2022,BAJFINANCE,Largecap,Finance
01-06-2022,LT,Largecap,Realty
01-06-2022,MOTHERSON,Largecap,Auto
01-06-2022,IRCTC,Largecap,Miscellaneous
01-06-2022,UNITDSPR,Largecap,FMCG
01-06-2022,ULTRACEMCO,Largecap,Industrials
01-07-2022,LICI,Largecap,Services
01-08-2022,LICI,Largecap,Services
01-09-2022,LICI,Largecap,Services
03-10-2022,LICI,Largecap,Services
02-01-2023,ADANIGREEN,Largecap,Miscellaneous
01-02-2023,ADANIGREEN,Largecap,Miscellaneous
01-02-2023,ATGL,Largecap,Industrials
01-02-2023,DIVISLAB,Largecap,Pharmaceuticals
01-02-2023,ADANIPOWER,Largecap,Miscellaneous
01-02-2023,ADANIENSOL,Largecap,Miscellaneous
01-02-2023,ICICIPRULI,Largecap,Services
01-03-2023,IRCTC,Largecap,Miscellaneous
01-03-2023,DIVISLAB,Largecap,Pharmaceuticals
01-03-2023,BAJAJFINSV,Largecap,Finance
01-08-2023,VEDL,Largecap,Industrials
01-09-2023,VEDL,Largecap,Industrials
03-10-2023,VEDL,Largecap,Industrials
03-10-2023,JIOFIN,Largecap,Finance
01-10-2024,IRCTC,Largecap,Miscellaneous
01-10-2024,INDUSINDBK,Largecap,Bank
01-10-2024,PNB,Largecap,Bank
01-11-2024,IRCTC,Largecap,Miscellaneous
01-11-2024,INDUSINDBK,Largecap,Bank
01-11-2024,CANBK,Largecap,Bank
02-12-2024,RELIANCE,Largecap,Industrials
02-12-2024,ADANIGREEN,Largecap,Miscellaneous
02-12-2024,IRCTC,Largecap,Miscellaneous
02-12-2024,INDUSINDBK,Largecap,Bank
02-12-2024,GODREJCP,Largecap,FMCG
02-12-2024,CANBK,Largecap,Bank
01-01-2025,ABB,Largecap,FMCG
01-01-2025,ADANIGREEN,Largecap,Miscellaneous
01-01-2025,IOC,Largecap,Industrials
01-01-2025,IRCTC,Largecap,Miscellaneous
01-01-2025,BANKBARODA,Largecap,Bank
01-01-2025,GAIL,Largecap,Industrials
01-01-2025,INDUSINDBK,Largecap,Bank
01-01-2025,AXISBANK,Largecap,Bank
01-01-2025,CANBK,Largecap,Bank
01-01-2025,NHPC,Largecap,Miscellaneous
01-01-2025,JSWENERGY,Largecap,Miscellaneous
01-01-2025,COALINDIA,Largecap,Industrials
01-01-2025,IRFC,Largecap,Finance
01-01-2025,ADANIENSOL,Largecap,Miscellaneous